TEAM_ABBREVIATION,SEASON,Num_Ball_Huggers,Num_Elite_Passers,Num_Ball_Huggers_Abs,Num_Elite_Passers_Abs,Num_Extreme_Huggers,Num_Extreme_Passers,Roster_Size,Hugger_Category,Passer_Category,Extreme_Hugger_Cat,Extreme_Passer_Cat,W_PCT,WINS,LOSSES,Net_Passers_Huggers,Net_Category
NYK,2022-23,1,3,0,3,0,3,15,0,2+,0,2+,0.548,47,35,3,More Passers
NYK,2023-24,2,2,2,4,0,3,13,2+,2+,0,2+,0.667,50,48,2,More Passers
OKC,2015-16,2,2,3,3,0,2,12,2+,2+,0,2+,0.457,55,44,0,Equal
OKC,2016-17,2,3,1,3,0,0,12,1,2+,0,0,0.568,47,37,2,More Passers
OKC,2017-18,3,3,0,4,0,1,12,0,2+,0,1,0.585,48,40,4,More Passers
OKC,2018-19,1,3,3,4,0,3,13,2+,2+,0,2+,0.595,48,34,1,More Passers
OKC,2019-20,1,2,0,4,0,2,12,0,2+,0,2+,0.543,44,27,4,More Passers
OKC,2020-21,2,1,2,1,0,0,13,2+,1,0,0,0.095,22,53,-1,More Huggers
OKC,2021-22,2,2,2,0,0,0,17,2+,0,0,0,0.275,19,50,-2,More Huggers
OKC,2022-23,2,2,2,3,0,0,14,2+,2+,0,0,0.372,37,42,1,More Passers
OKC,2023-24,3,2,1,4,0,1,14,1,2+,0,1,0.695,57,36,3,More Passers
ORL,2015-16,2,2,0,3,0,2,13,0,2+,0,2+,0.418,35,46,3,More Passers
ORL,2016-17,2,1,2,1,0,1,11,2+,1,0,1,0.308,39,53,-1,More Huggers
ORL,2017-18,3,3,1,3,0,2,14,1,2+,0,2+,0.304,25,57,2,More Passers
ORL,2018-19,2,3,2,3,0,2,12,2+,2+,0,2+,0.519,42,39,1,More Passers
ORL,2019-20,2,2,2,4,1,3,13,2+,2+,1,2+,0.484,42,39,2,More Passers
ORL,2020-21,2,2,2,3,1,0,14,2+,2+,1,0,0.333,21,51,1,More Passers
ORL,2021-22,2,3,0,2,0,0,13,0,2+,0,0,0.214,21,58,2,More Passers
ORL,2022-23,2,3,0,3,0,1,14,0,2+,0,1,0.296,33,47,3,More Passers
ORL,2023-24,2,1,0,1,0,1,13,0,1,0,1,0.575,47,34,1,More Passers
PHI,2015-16,1,2,0,2,0,0,12,0,2+,0,0,0.13,16,71,2,More Passers
PHI,2016-17,1,2,0,0,0,0,11,0,0,0,0,0.333,28,54,0,Equal
PHI,2017-18,2,3,2,0,0,0,13,2+,0,0,0,0.488,51,41,-2,More Huggers
PHI,2018-19,2,2,1,2,1,1,14,1,2+,1,1,0.446,50,36,1,More Passers
PHI,2019-20,1,2,0,2,0,0,13,0,2+,0,0,0.274,43,45,2,More Passers
PHI,2020-21,2,2,1,3,0,1,14,1,2+,0,1,0.667,46,27,2,More Passers
PHI,2021-22,2,3,0,4,0,1,12,0,2+,0,1,0.542,48,30,4,More Passers
PHI,2022-23,2,2,1,4,0,2,13,1,2+,0,2+,0.388,52,49,3,More Passers
PHI,2023-24,3,1,0,4,0,1,14,0,2+,0,1,0.526,47,38,4,More Passers
PHX,2015-16,2,3,1,3,0,1,14,1,2+,0,1,0.14,29,59,2,More Passers
PHX,2016-17,1,1,1,5,1,1,13,1,2+,1,1,0.219,24,58,4,More Passers
PHX,2017-18,2,4,2,5,0,3,14,2+,2+,0,2+,0.095,21,61,3,More Passers
PHX,2018-19,1,1,1,1,0,1,13,1,1,0,1,0.132,26,63,0,Equal
PHX,2019-20,1,2,1,3,1,1,13,1,2+,1,1,0.393,34,39,2,More Passers
PHX,2020-21,1,3,1,3,1,0,14,1,2+,1,0,0.7,51,21,2,More Passers
PHX,2021-22,1,3,1,3,1,3,13,1,2+,1,2+,0.78,64,42,2,More Passers
PHX,2022-23,1,3,1,3,1,1,16,1,2+,1,1,0.541,44,36,2,More Passers
PHX,2023-24,2,3,1,4,0,1,13,1,2+,0,1,0.632,48,41,3,More Passers
POR,2015-16,2,2,1,2,0,2,11,1,2+,0,2+,0.531,44,38,1,More Passers
POR,2016-17,2,2,1,3,0,3,10,1,2+,0,2+,0.494,40,40,2,More Passers
POR,2017-18,2,1,1,3,0,1,10,1,2+,0,1,0.608,49,33,2,More Passers
POR,2018-19,2,2,2,4,0,2,12,2+,2+,0,2+,0.662,52,43,2,More Passers
POR,2019-20,3,2,0,4,0,4,11,0,2+,0,2+,0.381,34,38,4,More Passers
POR,2020-21,2,2,3,3,0,3,10,2+,2+,0,2+,0.464,42,37,0,Equal
POR,2021-22,2,2,2,3,2,1,19,2+,2+,2+,1,0.5,28,52,1,More Passers
POR,2022-23,3,3,1,4,0,2,14,1,2+,0,2+,0.19,38,51,3,More Passers
POR,2023-24,3,1,1,3,0,1,16,1,2+,0,1,0.25,24,54,2,More Passers
SAC,2015-16,1,4,1,4,0,0,12,1,2+,0,0,0.356,32,46,3,More Passers
SAC,2016-17,2,3,0,3,0,1,14,0,2+,0,1,0.273,31,51,3,More Passers
SAC,2017-18,3,2,0,2,0,2,12,0,2+,0,2+,0.273,27,53,2,More Passers
SAC,2018-19,3,2,0,3,0,1,14,0,2+,0,1,0.481,39,45,3,More Passers
SAC,2019-20,4,1,0,4,0,1,12,0,2+,0,1,0.431,32,41,4,More Passers
SAC,2020-21,2,2,0,1,0,0,13,0,1,0,0,0.431,31,42,1,More Passers
SAC,2021-22,4,2,1,2,0,0,15,1,2+,0,0,0.339,28,56,1,More Passers
SAC,2022-23,2,3,0,2,0,0,11,0,2+,0,0,0.588,48,34,2,More Passers
SAC,2023-24,2,1,0,1,0,0,11,0,1,0,0,0.561,46,36,1,More Passers
SAS,2015-16,2,3,1,0,0,0,14,1,0,0,0,0.436,66,31,-1,More Huggers
SAS,2016-17,1,1,1,2,0,1,12,1,2+,0,1,0.73,60,21,1,More Passers
SAS,2017-18,2,2,1,1,0,0,11,1,1,0,0,0.6,47,35,0,Equal
SAS,2018-19,1,2,1,4,0,2,10,1,2+,0,2+,0.585,48,34,3,More Passers
SAS,2019-20,3,2,3,4,0,2,12,2+,2+,0,2+,0.429,32,38,1,More Passers
SAS,2020-21,2,2,2,4,0,2,13,2+,2+,0,2+,0.464,32,37,2,More Passers
SAS,2021-22,2,2,1,2,1,1,13,1,2+,1,1,0.44,38,43,1,More Passers
SAS,2022-23,1,3,0,3,0,2,15,0,2+,0,2+,0.097,31,51,3,More Passers
SAS,2023-24,2,2,0,1,0,0,12,0,1,0,0,0.212,21,57,1,More Passers
TOR,2015-16,1,2,1,4,0,2,12,1,2+,0,2+,0.614,56,26,3,More Passers
TOR,2016-17,2,3,2,6,1,4,13,2+,2+,1,2+,0.704,50,46,4,More Passers
TOR,2017-18,1,3,1,3,0,1,12,1,2+,0,1,0.308,59,23,2,More Passers
TOR,2018-19,1,1,1,0,0,0,11,1,0,0,0,0.419,57,43,-1,More Huggers
TOR,2019-20,2,2,1,2,0,0,12,1,2+,0,0,0.707,53,19,1,More Passers
TOR,2020-21,2,4,1,4,0,0,14,1,2+,0,0,0.326,29,44,3,More Passers
TOR,2021-22,1,2,1,1,0,0,14,1,1,0,0,0.6,48,34,0,Equal
TOR,2022-23,1,3,1,5,0,0,14,1,2+,0,0,0.493,39,46,4,More Passers
TOR,2023-24,2,1,2,1,0,0,14,2+,1,0,0,0.397,31,47,-1,More Huggers
UTA,2015-16,4,3,0,3,0,1,13,0,2+,0,1,0.494,40,42,3,More Passers
UTA,2016-17,2,1,1,1,0,1,12,1,1,0,1,0.606,51,31,0,Equal
UTA,2017-18,1,2,1,2,0,0,12,1,2+,0,0,0.571,52,34,1,More Passers
UTA,2018-19,2,2,2,2,1,1,12,2+,2+,1,1,0.61,50,32,0,Equal
UTA,2019-20,3,2,3,5,2,3,11,2+,2+,2+,2+,0.621,44,37,2,More Passers
UTA,2020-21,2,2,2,2,0,2,10,2+,2+,0,2+,0.721,52,20,0,Equal
UTA,2021-22,3,2,2,4,0,1,13,2+,2+,0,1,0.429,47,36,2,More Passers
UTA,2022-23,1,0,1,5,0,0,13,1,2+,0,0,0.492,34,40,4,More Passers
UTA,2023-24,2,2,2,4,0,2,11,2+,2+,0,2+,0.4,29,49,2,More Passers
WAS,2015-16,3,2,2,3,0,1,14,2+,2+,0,1,0.5,41,42,1,More Passers
WAS,2016-17,2,3,2,3,0,3,13,2+,2+,0,2+,0.284,49,58,1,More Passers
WAS,2017-18,3,2,0,2,0,2,12,0,2+,0,2+,0.524,43,39,2,More Passers
WAS,2018-19,2,2,0,2,0,1,14,0,2+,0,1,0.28,32,50,2,More Passers
WAS,2019-20,2,3,2,5,0,2,15,2+,2+,0,2+,0.333,36,45,3,More Passers
WAS,2020-21,1,2,1,4,0,2,13,1,2+,0,2+,0.469,34,37,3,More Passers
WAS,2021-22,1,2,0,1,0,0,14,0,1,0,0,0.296,35,47,1,More Passers
WAS,2022-23,2,2,1,1,0,0,12,1,1,0,0,0.355,33,46,0,Equal
WAS,2023-24,1,1,1,4,0,1,12,1,2+,0,1,0.13,15,65,3,More Passers
